                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.36183,                0.28029,                 1.0086,                0.93443,                 0.9287,                 0.9624,                0.92108,                0.28871,                0.21015,                0.90243,               0.004258,               0.004258,               0.004258
                     61,                0.36261,                0.27854,                 1.0094,                0.93645,                0.93268,                0.96239,                0.92016,                0.28819,                0.20969,                  0.902,               0.004159,               0.004159,               0.004159
                     62,                0.36228,                0.27687,                 1.0092,                0.93804,                0.93186,                0.96277,                0.92071,                  0.288,                0.20911,                0.90167,                0.00406,                0.00406,                0.00406
                     63,                0.36089,                0.27576,                 1.0082,                0.93857,                0.93188,                0.96278,                0.92158,                0.28787,                0.20896,                0.90141,               0.003961,               0.003961,               0.003961
                     64,                0.35863,                0.27438,                 1.0063,                0.93884,                0.93028,                0.96257,                0.92154,                0.28753,                0.20868,                0.90092,               0.003862,               0.003862,               0.003862
                     65,                0.36099,                0.27463,                 1.0088,                0.93908,                0.92851,                0.96274,                0.92149,                0.28753,                0.20846,                0.90082,               0.003763,               0.003763,               0.003763
                     66,                0.35843,                0.27317,                 1.0068,                0.93907,                0.92898,                0.96312,                0.92159,                0.28736,                 0.2083,                0.90068,               0.003664,               0.003664,               0.003664
                     67,                0.35654,                0.27158,                  1.007,                0.93832,                0.92986,                0.96271,                0.92172,                0.28718,                0.20792,                0.90042,               0.003565,               0.003565,               0.003565
                     68,                0.35657,                0.27137,                 1.0055,                0.93751,                0.93023,                0.96248,                0.92129,                0.28659,                0.20732,                0.89955,               0.003466,               0.003466,               0.003466
                     69,                0.35516,                0.26962,                 1.0055,                0.93771,                0.92983,                0.96266,                0.92146,                0.28644,                0.20731,                0.89902,               0.003367,               0.003367,               0.003367
                     70,                  0.354,                0.26851,                 1.0049,                0.93759,                0.92993,                0.96267,                0.92191,                0.28619,                0.20729,                0.89843,               0.003268,               0.003268,               0.003268
                     71,                0.35472,                0.26634,                 1.0043,                0.93873,                0.92896,                0.96276,                0.92221,                0.28607,                0.20667,                0.89829,               0.003169,               0.003169,               0.003169
                     72,                0.35336,                 0.2642,                 1.0035,                0.93883,                0.92907,                0.96297,                  0.923,                0.28591,                0.20648,                0.89803,                0.00307,                0.00307,                0.00307
                     73,                0.35322,                0.26419,                 1.0043,                0.92928,                0.93131,                0.96303,                0.92348,                0.28534,                0.20601,                0.89715,               0.002971,               0.002971,               0.002971
                     74,                0.35109,                0.26397,                 1.0021,                0.92938,                0.93094,                0.96307,                0.92346,                0.28511,                0.20585,                0.89676,               0.002872,               0.002872,               0.002872
                     75,                0.34983,                 0.2622,                 1.0027,                0.92958,                0.93018,                0.96323,                 0.9235,                0.28491,                0.20558,                0.89638,               0.002773,               0.002773,               0.002773
                     76,                0.35007,                0.26117,                 1.0018,                0.93876,                0.92934,                0.96362,                0.92405,                0.28463,                0.20518,                0.89613,               0.002674,               0.002674,               0.002674
                     77,                0.34882,                0.26085,                  1.002,                0.93886,                0.92693,                0.96357,                0.92443,                0.28418,                0.20508,                0.89555,               0.002575,               0.002575,               0.002575
                     78,                0.34683,                 0.2574,                 1.0007,                0.94039,                0.92766,                0.96342,                0.92452,                0.28393,                0.20506,                0.89515,               0.002476,               0.002476,               0.002476
                     79,                 0.3443,                0.25602,                 0.9992,                0.94077,                0.92611,                0.96337,                0.92413,                0.28362,                0.20483,                0.89461,               0.002377,               0.002377,               0.002377
                     80,                 0.3445,                0.25475,                0.99863,                0.94131,                0.92606,                0.96346,                0.92389,                0.28329,                0.20462,                0.89412,               0.002278,               0.002278,               0.002278
                     81,                0.34188,                0.25401,                0.99792,                0.94101,                0.92643,                 0.9636,                0.92416,                0.28292,                0.20443,                0.89369,               0.002179,               0.002179,               0.002179
                     82,                0.34271,                0.25352,                0.99887,                0.94142,                0.92673,                0.96361,                0.92426,                0.28265,                0.20427,                0.89333,                0.00208,                0.00208,                0.00208
                     83,                0.34412,                0.25481,                0.99964,                0.94173,                0.92699,                0.96363,                0.92418,                0.28263,                0.20391,                0.89317,               0.001981,               0.001981,               0.001981
                     84,                0.33947,                0.25073,                0.99578,                0.94171,                0.92718,                0.96345,                0.92366,                0.28239,                0.20401,                0.89277,               0.001882,               0.001882,               0.001882
                     85,                0.33764,                0.24727,                0.99552,                0.94209,                0.92751,                0.96382,                0.92466,                0.28204,                 0.2038,                0.89229,               0.001783,               0.001783,               0.001783
                     86,                0.33552,                0.24342,                0.99445,                0.94302,                 0.9275,                0.96402,                0.92473,                0.28188,                0.20376,                0.89181,               0.001684,               0.001684,               0.001684
                     87,                0.33517,                0.24487,                0.99421,                0.94262,                0.92767,                0.96434,                0.92565,                0.28153,                0.20331,                0.89127,               0.001585,               0.001585,               0.001585
                     88,                0.33537,                0.24365,                0.99404,                0.94154,                0.92868,                0.96428,                0.92552,                0.28135,                0.20306,                0.89086,               0.001486,               0.001486,               0.001486
                     89,                0.33373,                 0.2425,                0.99374,                0.94099,                 0.9283,                0.96474,                0.92625,                0.28089,                0.20288,                0.89015,               0.001387,               0.001387,               0.001387
                     90,                 0.3321,                0.23825,                0.99359,                0.94106,                  0.928,                 0.9649,                0.92624,                0.28048,                0.20317,                 0.8894,               0.001288,               0.001288,               0.001288
                     91,                0.23925,                0.19494,                0.96362,                0.93914,                0.92731,                0.96481,                0.92664,                0.27988,                0.20269,                0.88862,               0.001189,               0.001189,               0.001189
                     92,                0.23556,                0.19007,                0.95898,                 0.9369,                0.92873,                0.96484,                0.92602,                0.27921,                0.20265,                0.88771,                0.00109,                0.00109,                0.00109
                     93,                0.23518,                0.18834,                0.96055,                 0.9364,                 0.9307,                0.96443,                0.92574,                 0.2784,                0.20219,                0.88666,               0.000991,               0.000991,               0.000991
                     94,                 0.2331,                0.18546,                 0.9578,                0.93615,                0.93201,                0.96409,                0.92589,                0.27747,                0.20186,                0.88544,               0.000892,               0.000892,               0.000892
                     95,                0.23071,                0.18313,                0.95569,                0.93417,                0.93444,                0.96438,                0.92747,                0.27671,                0.20148,                0.88438,               0.000793,               0.000793,               0.000793
                     96,                0.22881,                0.18075,                0.95389,                0.93489,                0.93442,                0.96455,                0.92779,                0.27618,                0.20122,                0.88346,               0.000694,               0.000694,               0.000694
                     97,                 0.2258,                0.17545,                0.95167,                0.93426,                0.93383,                0.96456,                0.92796,                0.27569,                0.20086,                0.88243,               0.000595,               0.000595,               0.000595
                     98,                 0.2248,                0.17424,                0.95102,                0.93419,                0.93366,                0.96432,                0.92767,                0.27523,                0.20056,                0.88163,               0.000496,               0.000496,               0.000496
                     99,                0.22203,                0.17135,                 0.9495,                0.93499,                0.93291,                0.96457,                0.92791,                0.27473,                0.20042,                0.88078,               0.000397,               0.000397,               0.000397
                    100,                0.22128,                0.16896,                0.94897,                0.93355,                0.93386,                0.96471,                 0.9283,                0.27428,                 0.2001,                0.87995,               0.000298,               0.000298,               0.000298
